Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 43,     Pool, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 1621ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44,     Pool, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 18626a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45,     Pool, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 18626a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46,     Pool, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 1aa2ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 47,     Pool, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 463, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 80, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 1aa2ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48,   Concat, 1024, 20, 20, 1024, 20, 20, 1024,  COL, 0, 0, 420, 420, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 1024, 589952, 22, 1ce36a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49,     Conv, 1024, 20, 20, 512, 20, 20, 1024, ROW_L, 0, 0, 64, 420, 7, 56, 56,,,,,,,,, L2, DMA, 192, 192, 1024, 196864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 295040, 22, 1621ea, ,,,,,,,, L2, DMA, 1088, 1025, 128, 139264, 0, 30100, MSMC, DMA, 1088, 1088, 512, 557056, 0, 25e380, 
 50,     Conv, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 51,     Conv, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 1621ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 52,     Conv, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 256, 114688, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 1621ea, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1c000, ,,,,,,,, 
