Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 91,     Conv, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 8be56, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 92,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, f6156, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 93,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, f6156, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 94,     Conv, 128, 40, 40, 37, 40, 40, 128, ROW_L, 0, 0, 1664, 3280, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 128, 434176, 0, 0, ,,,,,,,, MSMC, CPU, 3520, 3446, 37, 130432, 84, 6c0ac, ,,,,,,,, L2, DMA, 320, 258, 37, 11904, 0, 6a000, ,,,,,,,, 
 95,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, f6156, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 96,     Conv, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221312, 42, 90456, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 98,     Conv, 128, 40, 40, 1, 40, 40, 128, ROW_L, 0, 0, 1728, 3280, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 128, 450560, 0, 0, ,,,,,,,, MSMC, CPU, 3520, 3446, 1, 3712, 84, 8be2c, ,,,,,,,, L2, DMA, 320, 258, 1, 384, 0, 6e000, MSMC, DMA_ONCE, 320, 320, 1, 384, 0, 7b9e00, 
 97,     Conv, 128, 40, 40, 4, 40, 40, 128, ROW_L, 0, 0, 1728, 3280, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 128, 450560, 0, 0, ,,,,,,,, MSMC, CPU, 3520, 3446, 4, 14208, 84, 8ccac, ,,,,,,,, L2, DMA, 320, 258, 4, 1280, 0, 6e000, ,,,,,,,, 
 99,   Concat, 42, 40, 40, 42, 40, 40, 42,  COL, 0, 0, 3280, 3280, 42, 1, 42,,,,,,,,, L2, DMA, 3520, 3520, 2, 7040, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 42, 137216, 0, 90400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 100,     Conv, 256, 40, 40, 256, 20, 20, 256, ROW_L, 42, 42, 246, 1682, 7, 28, 28,,,,,,,,, L2, DMA, 576, 576, 256, 148736, 0, 0, ,,,,,,,, MSMC, CPU, 448, 401, 256, 114816, 0, 6c080, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24500, MSMC, DMA_ONCE, 2368, 2368, 256, 606208, 0, 67d900, 
 101,   Concat, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 400, 400, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 512, 229376, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 295040, 22, 1b00ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 102,     Conv, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 6a, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 103,     Conv, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 240ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 104,     Conv, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 256, 114688, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 240ea, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1c000, ,,,,,,,, 
 105,     Conv, 256, 20, 20, 256, 20, 20, 256, ROW_L, 44, 64, 256, 463, 2, 8, 8,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147584, 22, 4816a, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24000, MSMC, DMA_ONCE, 2368, 2368, 256, 606208, 0, 711900, 
 106,   Concat, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 295040, 22, b1c6a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 107,     Conv, 512, 20, 20, 512, 20, 20, 512, ROW_L, 0, 0, 64, 420, 7, 1, 7,,,,,,,,, L2, DMA, 192, 192, 512, 98560, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 295040, 22, 6a, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 18100, ,,,,,,,, 
 108,     Conv, 512, 20, 20, 128, 20, 20, 512, ROW_L, 0, 0, 320, 420, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 512, 360448, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 6a, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58000, ,,,,,,,, 
 109,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 120ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 110,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 120ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 111,     Conv, 128, 20, 20, 37, 20, 20, 128, ROW_L, 0, 0, 840, 840, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 960, 926, 37, 35712, 44, 24154, ,,,,,,,, L2, DMA, 320, 258, 37, 11904, 0, 1e000, ,,,,,,,, 
 112,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 6a, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 113,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73856, 22, 6a, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 115,     Conv, 128, 20, 20, 1, 20, 20, 128, ROW_L, 0, 0, 840, 840, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 960, 926, 1, 1152, 44, 120d4, ,,,,,,,, L2, DMA, 320, 258, 1, 384, 0, 1e000, ,,,,,,,, 
 114,     Conv, 128, 20, 20, 4, 20, 20, 128, ROW_L, 0, 0, 840, 840, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 960, 926, 4, 3968, 44, 12554, ,,,,,,,, L2, DMA, 320, 258, 4, 1280, 0, 1e000, ,,,,,,,, 
 116,   Concat, 42, 20, 20, 42, 20, 20, 42,  COL, 0, 0, 840, 840, 42, 1, 42,,,,,,,,, L2, DMA, 960, 960, 2, 1920, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 42, 35072, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, DetectionOutput, 42, 80, 80, 1, 1405, 1, 42,  COL, 0, 0, 12800, 12800, 3, 1, 3,,,,,,,,, L2, DMA, 12864, 12864, 28, 360192, 0, 0, ,,,,,,,, MSMC, CPU, 5696, 5620, 1, 5888, 0, 8900, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 119, ODOutputReformat, 1, 1405, 1, 1, 200, 1, 1,  COL, 0, 0, 1405, 1405, 1, 1, 1,,,,,,,,, L2, DMA, 1472, 1472, 1, 1536, 0, 0, MSMC, CPU, 1405, 0, 1, 1408, 0, 0, DDR, DMA, 800, 800, 1, 1920, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 121,     Data, 1, 200, 1, 0, 0, 0, 1, FRAME, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 5696, 200, 1, 5888, 0, ffffffff, ,,,,,,,, DDR, CPU, 409600, 0, 0, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118, ODOutputReformat, 1, 1405, 1, 1, 5, 200, 1,  COL, 0, 0, 1405, 1405, 1, 1, 1,,,,,,,,, L2, DMA, 1472, 1472, 1, 1536, 0, 0, MSMC, CPU, 4000, 0, 1, 4096, 0, 0, DDR, DMA, 4000, 4000, 1, 5120, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 120,     Data, 1, 5, 200, 0, 0, 0, 1, FRAME, 0, 0, 1000, 1000, 1, 1, 1,,,,,,,,, L2, DMA, 5696, 1000, 1, 5888, 0, ffffffff, ,,,,,,,, DDR, CPU, 409600, 0, 0, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
